,Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull,coordinates,index_right,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3
0,61.0,15.0,16.0,Sefine Shipyard Co Inc,LFGH3,5-Reserved,Det Norske Veritas,216.9,Norway,5308.0,Tassal_fish_farm,7.24,7.1,1071900.0,,Norway (Nis),4027.0,206.0,9839337.0,DOVER,-43.41259,82.0,147.129738,257076980,Aqua Spa,0-Underway(Engine),,Solvtrans Rederi AS,  Unknown,Gard,Aalesund                              ,Propeller : Azimuth Elec Dr,,,,0.1,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:32:13.000Z""",1668184333.0,7-Cargo,29/12/2018,11.0,SH,POINT (147.129738 -43.41259),53.0,8323.0,Australian Exclusive Economic Zone,2147.0,200NM,2147.0,Australia,AUS,Australia,0.0,0.0,,,,0.0,0.0,,,,138.08226,-27.36726,8323.0,6871622.0,AUS,,,36.0,,,36.0,,
1,,,,,,,,260.5,,,,,,,,,,260.5,,,-7.25151,,125.916477,525600752,,15-NotDefined,,,,,,,,,,5.3,,,,"""2022-02-17T19:20:33.000Z""",1645125633.0,,,,,POINT (125.916477 -7.25151),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
2,71.0,13.0,15.0,Komuny Paryskiej Stocznia,UDVM,0-AllShips,Russian Maritime Register,119.0,Russia,2397.0,Sea Of Okhotsk,5.601,5.6,11070800.0,,Russia,3226.0,121.0,8313879.0,VLADIVOSTOK,59.033167,95.0,145.500383,273442740,Bukhta Nagaeva,1-AtAnchor,,MAG-SEA International,MAG-SEA International,VSK Insurance,Vladivostok,Propeller : Fixed Pitch,,,,9.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T14:55:08.000Z""",1668178508.0,7-Cargo,30/04/1984,0.0,SH,POINT (145.500383 59.033167),273.0,5690.0,Russian Exclusive economic Zone,2240.0,200NM,2240.0,Russia,RUS,Russia,0.0,0.0,,,,0.0,0.0,,,,93.55011,71.3249,5690.0,7734809.0,RUS,,,643.0,,,643.0,,
3,14.0,2.0,5.0,,HO6689,0-AllShips,,-1.0,,,,,0.0,0.0,,,,167.1,0.0,LA LIBERTAD,-2.216932,16.0,-80.923053,351219000,Angula,15-NotDefined,,,,,,,,,,0.2,,,,"""2022-07-05T17:52:14.000Z""",1657043534.0,37-Pleasure,,,,POINT (-80.923053 -2.216932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,110.0,8.0,21.0,Zhejiang Tenglong Shipyard,BZW5N,9-NoInfo,,287.7,China,,1,,0.0,0.0,GH-0861,"China, People's Republic Of",7931.0,287.7,0.0,RADA PUNTA ARENAS,-16.377322,134.0,-84.412897,412421088,Jinzhou,15-NotDefined,3.309E+15,Zhoushan Jinhai Deep-Sea,  Unknown,Unknown,"Zhoushan, Zhejiang",Propeller : Fixed Pitch,,,,10.5,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:01:25.000Z""",1668182485.0,7-Cargo,,0.0,SH,POINT (-84.412897 -16.377322),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.0,5.0,9.0,Rigas Buvetava,LLQC,0-AllShips,,193.0,Norway,650.0,Las Palmas,4.85,5.0,12111200.0,,Norway,670.0,193.0,9255048.0,ALESUND,42.752477,51.0,-10.639242,258599000,Doennalaks,0-Underway(Engine),,Intership AS,Intership AS,Unknown,Bodo,Propeller : Fixed Pitch,,,,10.8,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:35:56.000Z""",1668184556.0,7-Cargo,10/10/2001,0.0,SH,POINT (-10.639242 42.752477),276.0,5693.0,Spanish Exclusive Economic Zone,2185.0,200NM,2185.0,Spain,ESP,Spain,0.0,0.0,,,,0.0,0.0,,,,-4.15801,41.72201,5693.0,561763.0,ESP,,,724.0,,,724.0,,
6,8.0,5.0,10.0,,,0-AllShips,,100.3,,,,,0.0,0.0,,,,100.3,0.0,JURONG ISLAND,1.208997,24.0,103.839965,525101998,Cahaya Abadi,15-NotDefined,,,,,,,,,,7.1,,,,"""2020-02-28T08:12:50.000Z""",1582877570.0,7-Cargo,,,,POINT (103.839965 1.208997),200.0,8485.0,Singaporean Exclusive Economic Zone,2190.0,200NM,2190.0,Singapore,SGP,Singapore,0.0,0.0,,,,0.0,0.0,,,,103.81835,1.27519,8485.0,714.0,SGP,,,702.0,,,702.0,,
7,13.0,6.0,13.0,Guangzhou Huangpu Shipbuilding,CA4365,0-AllShips,Bureau Veritas,168.9,Chile,1932.0,Valverde1,5.01,5.0,11112200.0,,Chile,1573.0,175.0,9686962.0,PUERTO MONTT,-43.36271,64.0,-73.630108,725001072,Vali,0-Underway(Engine),3350,Detroit Chile SA,Detroit Chile SA,West of England,Valparaiso,Propeller : Fixed Pitch,,,,8.4,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:37:48.000Z""",1668184668.0,4-HSC,30/07/2013,12.0,SH,POINT (-73.630108 -43.36271),10.0,8465.0,Chilean Exclusive Economic Zone,2165.0,200NM,2165.0,Chile,CHL,Chile,0.0,0.0,,,,0.0,0.0,,,,-75.62881,-40.98629,8465.0,2488052.0,CHL,,,152.0,,,152.0,,
8,20.0,9.0,18.0,Sunandar,YB5541,Unknown,,305.1,Indonesia,,,,0.0,0.0,,Indonesia,102.0,305.1,0.0,BENOA,-4.380113,40.0,129.842467,525500990,Mutiara-20,15-NotDefined,15.19.0001.02.46682,Intimas Surya PT,  Unknown,Unknown,Semarang,Propeller : Fixed Pitch,,,,8.5,S,In Service/Commission,Fish Carrier,"""2022-03-02T23:21:29.000Z""",1646263289.0,0-Unknown,,0.0,,POINT (129.842467 -4.380113),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
9,93.0,12.0,18.0,61 Kommunara,UBZW7,0-AllShips,Bureau Veritas,352.3,Russia,6620.0,Ruvvo,7.5,7.0,11100900.0,,Russia,6965.0,185.0,9076246.0,VLADIVOSTOK,43.087962,134.0,131.807512,273296490,Frio Poseidon,1-AtAnchor,,Lodia LLC,  Unknown,Unknown,Vladivostok,Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:31:58.000Z""",1668184318.0,7-Cargo,1993-08-00,16.5,,POINT (131.807512 43.087962),273.0,5690.0,Russian Exclusive economic Zone,2240.0,200NM,2240.0,Russia,RUS,Russia,0.0,0.0,,,,0.0,0.0,,,,93.55011,71.3249,5690.0,7734809.0,RUS,,,643.0,,,643.0,,
