Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull
61,15,16,Sefine Shipyard Co Inc,LFGH3,5-Reserved,Det Norske Veritas,216.9,Norway,5308,Tassal_fish_farm,7.24,7.1,1071900,null,Norway (Nis),4027,206,9839337,DOVER,-43.41259,82,147.129738,257076980,Aqua Spa,0-Underway(Engine),null,Solvtrans Rederi AS,  Unknown,Gard,Aalesund                              ,Propeller : Azimuth Elec Dr,null,null,null,0.1,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:32:13.000Z""",1668184333,7-Cargo,29/12/2018,11,SH
null,null,null,null,null,null,null,260.5,null,null,null,null,null,null,null,null,null,260.5,null,null,-7.25151,null,125.916477,525600752,null,15-NotDefined,null,null,null,null,null,null,null,null,null,5.3,null,null,null,"""2022-02-17T19:20:33.000Z""",1645125633,null,null,null,null
71,13,15,Komuny Paryskiej Stocznia,UDVM,0-AllShips,Russian Maritime Register,119,Russia,2397,Sea Of Okhotsk,5.601,5.6,11070800,null,Russia,3226,121,8313879,VLADIVOSTOK,59.033167,95,145.500383,273442740,Bukhta Nagaeva,1-AtAnchor,null,MAG-SEA International,MAG-SEA International,VSK Insurance,Vladivostok,Propeller : Fixed Pitch,null,null,null,9.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T14:55:08.000Z""",1668178508,7-Cargo,30/04/1984,0,SH
14,2,5,null,HO6689,0-AllShips,null,-1,null,null,,null,0,0,null,null,null,167.1,0,LA LIBERTAD,-2.216932,16,-80.923053,351219000,Angula,15-NotDefined,null,null,null,null,null,null,null,null,null,0.2,null,null,null,"""2022-07-05T17:52:14.000Z""",1657043534,37-Pleasure,null,null,null
110,8,21,Zhejiang Tenglong Shipyard,BZW5N,9-NoInfo,null,287.7,China,null,1,null,0,0,GH-0861,"China, People's Republic Of",7931,287.7,0,RADA PUNTA ARENAS,-16.377322,134,-84.412897,412421088,Jinzhou,15-NotDefined,3.309E+15,Zhoushan Jinhai Deep-Sea,  Unknown,Unknown,"Zhoushan, Zhejiang",Propeller : Fixed Pitch,null,null,null,10.5,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:01:25.000Z""",1668182485,7-Cargo,null,0,SH
10,5,9,Rigas Buvetava,LLQC,0-AllShips,null,193,Norway,650,Las Palmas,4.85,5,12111200,null,Norway,670,193,9255048,ALESUND,42.752477,51,-10.639242,258599000,Doennalaks,0-Underway(Engine),null,Intership AS,Intership AS,Unknown,Bodo,Propeller : Fixed Pitch,null,null,null,10.8,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:35:56.000Z""",1668184556,7-Cargo,10/10/2001,0,SH
8,5,10,null,,0-AllShips,null,100.3,null,null,,null,0,0,null,null,null,100.3,0,JURONG ISLAND,1.208997,24,103.839965,525101998,Cahaya Abadi,15-NotDefined,null,null,null,null,null,null,null,null,null,7.1,null,null,null,"""2020-02-28T08:12:50.000Z""",1582877570,7-Cargo,null,null,null
13,6,13,Guangzhou Huangpu Shipbuilding,CA4365,0-AllShips,Bureau Veritas,168.9,Chile,1932,Valverde1,5.01,5,11112200,null,Chile,1573,175,9686962,PUERTO MONTT,-43.36271,64,-73.630108,725001072,Vali,0-Underway(Engine),3350,Detroit Chile SA,Detroit Chile SA,West of England,Valparaiso,Propeller : Fixed Pitch,null,null,null,8.4,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:37:48.000Z""",1668184668,4-HSC,30/07/2013,12,SH
20,9,18,Sunandar,YB5541,Unknown,null,305.1,Indonesia,null,,null,0,0,null,Indonesia,102,305.1,0,BENOA,-4.380113,40,129.842467,525500990,Mutiara-20,15-NotDefined,15.19.0001.02.46682,Intimas Surya PT,  Unknown,Unknown,Semarang,Propeller : Fixed Pitch,null,null,null,8.5,S,In Service/Commission,Fish Carrier,"""2022-03-02T23:21:29.000Z""",1646263289,0-Unknown,null,0,null
93,12,18,61 Kommunara,UBZW7,0-AllShips,Bureau Veritas,352.3,Russia,6620,Ruvvo,7.5,7,11100900,null,Russia,6965,185,9076246,VLADIVOSTOK,43.087962,134,131.807512,273296490,Frio Poseidon,1-AtAnchor,null,Lodia LLC,  Unknown,Unknown,Vladivostok,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:31:58.000Z""",1668184318,7-Cargo,1993-08-00,16.5,null
117,8,23,Shikoku Dockyard,C6DD4,9-NoInfo,Bureau Veritas,358.3,Netherlands,10545,Nl Ijm,9.067,7.6,11040700,null,Bahamas,10374,303,9055709,VIGO,52.46142,151,4.584837,311000644,Fegulus,5-Moored,null,Seatrade Reefer Chartering NV,Seatrade Groningen BV,Skuld,Nassau,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:29:51.000Z""",1668184191,7-Cargo,11/03/1993,20.7,null
81,8,16,null,,0-AllShips,null,346.3,null,null,A,null,4.2,8311300,null,null,null,128,0,PUSAN,24.633652,99,118.67047,412331486,Lurongyuanyuyun009,0-Underway(Engine),null,null,null,null,null,null,null,null,null,0,null,null,null,"""2022-11-11T16:26:56.000Z""",1668184016,30-Fishing,null,null,null
45,7,15,null,9LU2026,0-AllShips,null,0,null,null,Sekupamg Batam,null,2.6,10051130,null,null,null,0,9336476,PULAU SAMBU,1.113467,57,103.93753,667001223,Kelanis Express,5-Moored,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2020-10-17T02:55:15.000Z""",1602903315,7-Cargo,null,null,null
81,8,16,null,3FHN6,0-AllShips,null,38,null,null,Ctg,null,5.2,6301000,null,null,null,38,8421298,TARAWA ATOLL,22.445897,108,91.709005,372387000,Hua Jian 107,0-Underway(Engine),null,null,null,null,null,null,null,null,null,14.1,null,null,null,"""2021-07-10T07:09:42.000Z""",1625900982,7-Cargo,null,null,null
118,14,21,Shin Kurushima Onishi,3EMD9,0-AllShips,null,172.8,China,9683,Zhou_shan,8.125,8.1,10211600,null,Panama,8818,164,8911102,PUSAN,30.159805,144,122.270123,356155000,Triton Reefer,1-AtAnchor,52358PEXT,Wei Fong Shipping Co Ltd,Wei Fong Shipping Co Ltd,Unknown,Panama,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:37:18.000Z""",1668184638,7-Cargo,02/10/1989,18.25,null
32,1,7,Mukai,JL5237,0-AllShips,null,293.8,Japan,93,,3,0,0,null,Japan,168,293.8,0,YAWATAHAMA,33.922632,43,131.034583,431501445,Koryu Maru No.28,15-NotDefined,128312,Koryu Suisan,  Unknown,Unknown,"Unzen, Nagasaki",Propeller : Fixed Pitch,null,null,null,1,S,In Service/Commission,Fish Carrier,"""2021-06-09T21:07:29.000Z""",1623272849,30-Fishing,10/09/1985,11.75,SH
88,6,18,61 Kommunara,UBIH4,0-AllShips,Russian Maritime Register,-1,Russia,5250,Vvo,6.48,6.8,11081700,null,Russia,6989,196,8826759,PETROPAVLOVSK,43.101082,134,131.882837,273359920,Tavria,5-Moored,null,Vostokflot OOO,Vostokflot OOO,Ingosstrakh Insurance,Vladivostok,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:33:36.000Z""",1668184416,7-Cargo,null,14.9,SH
10,8,16,Basaran,TCB2047,0-AllShips,null,-1,Turkey,207,Izmir Cesme,null,2.6,11140600,null,Turkey,594,337,9089384,KABA BURNU,40.69784,42,29.462597,271056075,Akua Group 3,0-Underway(Engine),6572,Akua Group Su Urunleri AS,Akua Group Su Urunleri AS,Unknown,Istanbul,"Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-06-23T07:11:52.000Z""",1655968312,30-Fishing,null,0,SH
0.5,0.5,1,null,,Unknown,null,235.8,null,null,,null,0,0,null,null,null,235.8,0,JAKARTA,-6.007195,1,105.864935,525800114,Km Fortuna Vii,15-NotDefined,null,null,null,null,null,null,null,null,null,5,null,null,null,"""2022-10-21T21:58:43.000Z""",1666389523,0-Unknown,null,null,null
53,9,13,Baltijos,UCBY,0-AllShips,Russian Maritime Register,111.8,Russia,1396,Ru_:vvo,4.39,4.2,10100200,null,Russia,2392,240,9125920,VLADIVOSTOK,43.09225,85,131.896467,273818000,Diona,0-Underway(Engine),921096,NBSF JSC,NBSF JSC,Unknown,Vladivostok,Propeller : Fixed Pitch,427320123,UCBY,null,0,S,In Service/Commission,Fish Factory Ship,"""2022-11-11T16:34:47.000Z""",1668184487,7-Cargo,04/04/1994,11.3,SH
83,11,18,Kvaerner Kleven Ulsteinvik AS,C6YS6,9-NoInfo,Det Norske Veritas,27.3,Norway,6000,Nlrtm,7.41,5.4,11131800,null,Bahamas,5084,26,8819299,PORTO DE MUCURIPE,46.288947,109,-7.554785,311043800,Green Austevoll,0-Underway(Engine),8001808,GreenSea Chartering BVBA,Green Reefers,Hydor,Nassau                                ,Propeller : Controllable Pitch,null,null,null,13.7,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:28:20.000Z""",1668184100,7-Cargo,02/09/1990,16,null
63,11,13,Kurinoura Dockyard Co Ltd,H3YK,0-AllShips,Union Bureau of Shipping,229.1,Hong Kong,1753,Ningde,4.372,4.7,8231600,null,Panama,1891,229.1,8819691,PUSAN,25.229383,83,119.716613,371031000,Qian Yuan,15-NotDefined,5291222,Ginsil Holding Group Ltd,Ginsil Holding Group Ltd,Unknown,Panama,Propeller : Fixed Pitch,null,null,null,9.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-10-20T19:54:06.000Z""",1666295646,7-Cargo,null,12,null
100,10,18,null,BVEK,0-AllShips,null,31.5,null,null,Zhan.jiang,null,8,9171200,null,null,null,31,0,null,27.001072,128,120.550562,412455820,Jin Cheng Xing7,0-Underway(Engine),null,null,null,null,null,null,null,null,null,7.4,null,null,null,"""2021-07-04T13:55:55.000Z""",1625406955,7-Cargo,null,null,null
8,4,9,Parnica Stocznia Remontowa,LJMX3,0-AllShips,null,238,United Kingdom,500,Troon,null,4,11091800,null,Norway (Nis),498,196,9174476,KYLE OF LOCHALSH,55.550223,42,-4.683887,259568000,Viking Saga,0-Underway(Engine),null,Viking Atlantic AS,Aquaship UK Ltd,Hydor,Bergen                                ,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:34:15.000Z""",1668184455,7-Cargo,27/05/1998,10,SH
47,6,10,Watanabe Nagasaki,JD4127,0-AllShips,Flag authority,237.6,Japan,450,,4.008,0,0,null,Japan,300,260.7,0,SAKAI KO,35.547837,68,133.240968,431008827,Kaikomaru No81,15-NotDefined,142852,Kyowa Suisan KK,Kyowa Suisan KK,Unknown,"Sakaiminato, Tottori","Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fishing Vessel,"""2022-11-02T05:31:53.000Z""",1667367113,30-Fishing,03/10/2016,0,SH
105,14,18,null,A8UV6,0-AllShips,null,16.6,null,null,Pago Pago,null,5.6,12281300,null,null,null,17,8807478,null,36.21248,125,125.107443,636014565,Frio Hamburg,5-Moored,null,null,null,null,null,null,null,null,null,10.9,null,null,null,"""2022-05-28T09:30:28.000Z""",1653730228,7-Cargo,null,null,null
30,6,15,null,LFGF,9-NoInfo,null,70.2,null,null,Fishfarm Ch16,null,7,8290000,null,null,null,72,9828792,null,62.987827,76,6.93301,257086024,Aqua Kvaloey,0-Underway(Engine),null,null,null,null,null,null,null,null,null,10.5,null,null,null,"""2021-05-23T20:38:39.000Z""",1621802319,7-Cargo,null,null,null
